time,type,size,volatility,open,high,low,close
2022-04-28 17:00,Green,0.003180027,220.71475,1.24371,1.24425,1.24107,1.24383
2022-04-28 18:00,Red,0.0027399063,220.86351,1.24384,1.24628,1.24354,1.24383
2022-04-28 19:00,Green,0.0032000542,222.17899,1.24382,1.24694,1.24374,1.24635
2022-04-28 20:00,Red,0.0025999546,222.7861,1.24636,1.24733,1.24473,1.24488
2022-04-28 21:00,Green,0.0019199848,223.32178,1.24489,1.24657,1.24465,1.24612
2022-04-28 22:00,Green,0.0011899471,223.37527,1.24609,1.24702,1.24583,1.24668
2022-04-28 23:00,Red,0.0024399757,224.4407,1.24668,1.24683,1.24439,1.24511
2022-04-29 00:00,Green,0.0018099546,225.00618,1.24518,1.24579,1.24398,1.24554
2022-04-29 01:00,Green,0.00069999695,224.73235,1.24547,1.246,1.2453,1.24592
2022-04-29 02:00,Green,0.00073993206,224.59547,1.24591,1.24646,1.24572,1.24645
2022-04-29 03:00,Green,0.0022000074,225.38118,1.24646,1.24866,1.24646,1.24842
2022-04-29 04:00,Red,0.0013400316,224.99423,1.2484,1.24965,1.24831,1.24831
2022-04-29 05:00,Red,0.0021799803,225.50017,1.24832,1.24868,1.2465,1.24724
2022-04-29 06:00,Green,0.0016099215,225.50604,1.24725,1.24883,1.24722,1.24826
2022-04-29 07:00,Green,0.0019699335,226.06557,1.24816,1.24962,1.24765,1.24934
2022-04-29 08:00,Green,0.0026899576,227.10724,1.24935,1.25199,1.2493,1.25182
2022-04-29 09:00,Green,0.002229929,227.12505,1.25183,1.25359,1.25136,1.25355
2022-04-29 10:00,Green,0.004639983,228.50598,1.25351,1.257,1.25236,1.25588
2022-04-29 11:00,Red,0.0025399923,227.90474,1.25588,1.25745,1.25491,1.25524
2022-04-29 12:00,Green,0.0020899773,228.0297,1.25526,1.2571,1.25501,1.25604
2022-04-29 13:00,Green,0.0026299953,227.47012,1.25603,1.25795,1.25532,1.25679
2022-04-29 14:00,Red,0.0045200586,229.39867,1.25679,1.25854,1.25402,1.25554
2022-04-29 15:00,Red,0.0033900738,229.92853,1.25555,1.2566,1.25321,1.25454
2022-04-29 16:00,Green,0.0022499561,230.16064,1.25454,1.25587,1.25362,1.25538
2022-04-29 17:00,Green,0.0041099787,231.00586,1.25539,1.25705,1.25294,1.2555
2022-04-29 18:00,Green,0.0024199486,231.11888,1.2555,1.25729,1.25487,1.25643
2022-04-29 19:00,Green,0.0021599531,231.29147,1.25643,1.25778,1.25562,1.25774
2022-04-29 20:00,Green,0.0037299395,232.98782,1.25776,1.26141,1.25768,1.26048
2022-04-29 21:00,Red,0.0016000271,232.89856,1.26042,1.26073,1.25913,1.25981
2022-04-29 22:00,Red,0.002750039,233.85095,1.25983,1.25983,1.25708,1.2575
2022-04-29 23:00,Red,0.0016800165,234.39267,1.25753,1.25828,1.2566,1.25705
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2022-05-02 00:00,Red,0.00069999695,233.51163,1.25807,1.25807,1.25737,1.25737
2022-05-02 01:00,Green,0.0014901161,233.42245,1.25737,1.25882,1.25733,1.25791
2022-05-02 02:00,Red,0.0015100241,233.75581,1.2579,1.25844,1.25693,1.25702
2022-05-02 03:00,Red,0.0030200481,234.2737,1.25701,1.25968,1.25666,1.25687
2022-05-02 04:00,Red,0.002139926,234.87488,1.25688,1.25762,1.25548,1.25588
2022-05-02 05:00,Red,0.0014600754,235.07732,1.25588,1.25653,1.25507,1.25579
2022-05-02 06:00,Neutral,0.001079917,235.29155,1.25579,1.25639,1.25531,1.25579
2022-05-02 07:00,Red,0.0011999607,235.37486,1.25579,1.25579,1.25459,1.25513
2022-05-02 08:00,Red,0.001420021,235.36293,1.25513,1.25533,1.25391,1.25419
